"","wb"
"101",3.0907457854094
"102",2.21383506852283
"103",3.30502102873188
"104",2.57010794570768
"105",2.81715261991105
"106",2.9448050787576
"107",2.44121292987497
"108",2.09426408790117
"109",3.38283738985745
"110",3.23679851342693
"111",3.82199925996726
"112",3.31272244522232
"113",1.36490924753146
"114",2.84946547207732
"115",4.13038084366261
"116",4.05765885646437
"117",3.64300127578214
"118",2.25195195716643
"119",2.26632986701592
"120",2.53116843700963
"121",1.64487101025431
"122",2.23259236984564
"123",2.52024895032596
"124",3.88673587877951
"125",3.22231385996505
"126",2.52136955307655
"127",3.53792319086721
"128",3.27634561146645
"129",2.73689245627369
"130",2.53234974501075
"131",0.78923018359321
"132",2.93462759185817
"133",2.30582549390328
"134",3.52619994649487
"135",2.83829598876054
"136",2.68792855562535
"137",3.96448471192408
"138",3.61086558647466
"139",1.62311347824804
"140",2.52301871159321
"141",2.7811014548495
"142",3.28385016031479
"143",3.0163544700178
"144",3.76530440507747
"145",4.17007543207673
"146",2.8449051539154
"147",2.83176159945454
"148",2.94665468206478
"149",2.66615346639989
"150",2.79692461055195
"151",1.59416987259401
"152",3.35792977052917
"153",1.50240715204044
"154",1.69511081980135
"155",2.64063018699385
"156",1.32598613955319
"157",2.8203582172693
"158",2.92452651806177
"159",2.76677614750309
"160",2.07072657009993
"161",0.928122851044331
"162",2.83769300650814
"163",2.5439889898542
"164",3.63553181055118
"165",3.17863949552301
"166",2.81627748563832
"167",2.38765136509627
"168",2.40804791169384
"169",2.09227080708462
"170",3.84695424674788
"171",3.41594221826262
"172",2.59121161086815
"173",3.36422164123708
"174",3.13061830731688
"175",2.97169751105571
"176",2.21209670775385
"177",2.70977557421892
"178",3.58098118444197
"179",3.54223326607096
"180",4.62808738602599
"181",2.09749785408725
"182",1.90736212001987
"183",4.13211291090054
"184",1.00273267952841
"185",2.30758110601449
"186",1.87088570214203
"187",1.97953428676564
"188",3.00357224168161
"189",0.964628701999544
"190",4.35415566992334
"191",2.07353594096559
"192",3.39393513689378
"193",3.00352782418435
"194",4.60156795130859
"195",1.87546867554032
"196",2.62262029751588
"197",3.08856414364807
"198",1.58096295139193
"199",2.49219986631126
"200",3.16208672820132
"201",3.8316761336122
"202",3.52551575665992
"203",4.7498242810054
"204",2.89170332918411
"205",3.79119821108915
"206",3.34399893326114
"207",3.17721401854369
"208",1.69044196016584
"209",1.14415576624009
"210",2.41036987834646
"211",2.17688503458286
"212",1.56915911693599
"213",3.07427318667812
"214",1.76838891353722
"215",3.65979739804175
"216",1.88831372959165
"217",2.65927699884646
"218",3.68157775124054
"219",3.41314782356486
"220",3.30881676194822
"221",2.77156272576591
"222",3.22143368391998
"223",2.63781113634469
"224",3.6645314592808
"225",3.75224269607604
"226",1.76736002904793
"227",3.53086287110396
"228",2.84945654441578
"229",2.07822490414848
"230",1.80887675372141
"231",3.04655955231975
"232",3.53211238986053
"233",2.84605129719378
"234",2.79587942573392
"235",3.04562612004419
"236",1.31866390173854
"237",3.55897492482152
"238",2.52409557451216
"239",3.79491699995271
"240",1.96500366706451
"241",1.78440487288059
"242",2.82917635107647
"243",3.43978967605684
"244",3.59062770458765
"245",1.70743526407111
"246",2.15742589999903
"247",3.52149552650745
"248",3.49190898137598
"249",2.96366940133567
"250",3.45335203306335
"251",1.2612116800256
"252",3.6700659249949
"253",2.63178501879251
"254",2.50474377046986
"255",2.37115914234076
"256",1.74264021016667
"257",1.75044546147166
"258",3.12909693977948
"259",2.27833759395352
"260",4.0523385602929
"261",2.92492040530068
"262",1.46203819842961
"263",1.84295954918468
"264",3.6831183831698
"265",4.01257602331789
"266",1.9156932214484
"267",1.83461460510009
"268",2.15132614072128
"269",2.29572351132423
"270",1.40440376549817
"271",3.5881092422677
"272",0.176774801626032
"273",3.68187847733342
"274",1.85652333237437
"275",1.68431712412632
"276",2.50918498388094
"277",3.23692781976024
"278",2.76868330131243
"279",2.99243704685324
"280",2.89523584626566
"281",2.99836473370931
"282",2.88888801615865
"283",1.92566267646856
"284",5.18109731944652
"285",3.07793249158748
"286",3.91053430939255
"287",3.53112997113567
"288",1.83610608271499
"289",2.58285951038176
"290",3.02310037279886
"291",1.60516577446916
"292",2.3538262338864
"293",2.56893842607781
"294",2.786158327605
"295",2.55336191858422
"296",1.76279626962686
"297",2.38152184348426
"298",3.01678768762329
"299",2.42880045431189
"300",3.39395566568703
"301",2.65170103371019
"302",2.51064283570875
"303",2.34459925334564
"304",3.40664513639266
"305",2.77536185615091
"306",1.33876864012544
"307",3.06718283075285
"308",2.1818294130213
"309",3.65029071859112
"310",2.13996769329879
"311",2.94920328984433
"312",0.89277396489115
"313",1.8466918227764
"314",3.92502317329459
"315",2.55291469039324
"316",3.16575209225373
"317",2.31873000426659
"318",1.56806275257327
"319",3.64527087921505
"320",3.82184872078148
"321",2.74600418501706
"322",2.98565903742283
"323",2.54808233532857
"324",1.80092923008389
"325",2.08547301267544
"326",3.04550636045374
"327",3.38480537528984
"328",2.380671715111
"329",2.76713071219132
"330",1.92488811901555
"331",2.04796853259849
"332",2.2050128317004
"333",2.28138436180785
"334",2.53831931683277
"335",3.048502765195
"336",3.43431843988176
"337",2.33417785125558
"338",3.85353276480092
"339",2.66065577355476
"340",3.32137305892468
"341",3.6623218259391
"342",2.76100762341039
"343",1.77959526192489
"344",2.92132003954227
"345",2.01361748834546
"346",1.09523660398296
"347",3.31831054881217
"348",2.78334436352876
"349",2.06158362037274
"350",3.327642328013
"351",1.64972883189806
"352",2.47672579009801
"353",2.75689938481306
"354",1.46835474866516
"355",1.33193333126155
"356",3.17206106169569
"357",3.12748203471275
"358",1.38621550861161
"359",3.06436439204929
"360",2.64317234199405
"361",2.01119076336333
"362",2.68543357917923
"363",1.49984492772241
"364",2.7063019564754
"365",1.98080955678446
"366",3.04109461182284
"367",2.10153887047856
"368",2.43257578824431
"369",2.25706045239646
"370",1.65084458988836
"371",2.88978001629926
"372",2.56414945858412
"373",3.5074340696764
"374",2.71028197805908
"375",2.35575326201467
"376",2.81532245617458
"377",3.33907735634695
"378",3.77900152771902
"379",1.83685669688534
"380",1.74545921389529
"381",3.50053426188941
"382",1.74871181659091
"383",2.52304338239305
"384",1.89302845844739
"385",2.66759611590986
"386",2.05042419732986
"387",1.88147571654247
"388",2.55377840381225
"389",2.45792574871272
"390",2.59427458634943
"391",3.16115457599171
"392",2.98569252969217
"393",1.77103154398022
"394",3.56281018735
"395",3.83208344214566
"396",2.05744294347945
"397",3.20504570879514
"398",2.16868622248088
"399",4.0120387421895
"400",2.64580242206618
"401",3.1003366244214
"402",1.63373288521891
"403",3.72465019664167
"404",3.3769925248869
"405",4.10805059025392
"406",3.1127598372511
"407",2.91078806075139
"408",2.12656295273984
"409",3.64679717330756
"410",3.05430507981164
"411",3.38633597292615
"412",3.19199577493324
"413",3.88887135358466
"414",3.92007675980306
"415",3.15633217605138
"416",3.15222935995474
"417",3.61691345345746
"418",4.17763775173786
"419",2.53497557398043
"420",3.5296045168653
"421",3.51791142967783
"422",2.94982996466086
"423",2.68115891998659
"424",2.91291032561494
"425",2.25532433438841
"426",1.76378517477502
"427",2.1201426854745
"428",3.05322552120693
"429",2.59067252772526
"430",3.52661279424123
"431",3.27491711176879
"432",2.71329299155374
"433",2.29750437120159
"434",2.65163567761705
"435",3.01861376320877
"436",2.24363376853727
"437",3.20998515812887
"438",3.09221261351468
"439",3.07846539051893
"440",1.72536483156049
"441",3.10344001921671
"442",2.16234901560663
"443",2.86278719357341
"444",3.11550744316793
"445",1.82493115482087
"446",2.73417566118893
"447",2.47970779434925
"448",3.18712739583697
"449",2.24807317602418
"450",3.2842073682321
"451",1.89751066488624
"452",2.1839800098743
"453",3.07829570971922
"454",2.88519835597518
"455",1.52449955347554
"456",1.56750473559242
"457",4.43127754964255
"458",4.64324226545089
"459",2.44865736959722
"460",3.54218289235151
"461",3.1339187059618
"462",2.94720558708101
"463",3.77503788577789
"464",2.71939876061394
"465",2.40681392019978
"466",3.75874723024969
"467",3.62772497998622
"468",3.84488458260508
"469",1.18767332179311
"470",2.92477801453647
"471",3.11131044054373
"472",2.43078915222613
"473",2.30555037836499
"474",1.91045791831362
"475",1.77293564601968
"476",1.45219464893181
"477",2.73887196414847
"478",2.97134996886526
"479",1.86883983984181
"480",3.50814287676433
"481",2.87978594223607
"482",3.16106494091689
"483",3.01116216365701
"484",1.93774349428782
"485",2.26251409004669
"486",3.30025164353938
"487",2.68032614150774
"488",3.68344382862301
"489",2.96785713940043
"490",3.13579264319849
"491",4.0717564791074
"492",2.52763891572767
"493",1.79150342545611
"494",2.49601200208181
"495",3.29589482371322
"496",3.74929160324643
"497",1.25368170254311
"498",3.0408148068212
"499",3.36061010708929
"500",2.35476435145542
